document_id,url,date,president,doc_type,term,source_file,authority_category,generic_authority_matches,specific_authority_matches,vesting_clauses
30,https://www.presidency.ucsb.edu/documents/executive-order-14388-continuing-the-suspension-duty-free-de-minimis-treatment-for-all,"February 20, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""19 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 6""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}, {""rule"": ""named_act"", ""text"": ""the Trade Act of 1974""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483), and section 301 of title 3, United States Code,""]"
31,https://www.presidency.ucsb.edu/documents/executive-order-14389-ending-certain-tariff-actions,"February 20, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""19 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 6""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}, {""rule"": ""named_act"", ""text"": ""the Trade Act of 1974""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483), and section 301 of title 3, United States Code,""]"
32,https://www.presidency.ucsb.edu/documents/executive-order-14387-promoting-the-national-defense-ensuring-adequate-supply-elemental,"February 18, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the Defense Production Act of 1950""}, {""rule"": ""legal_section"", ""text"": ""section 1""}, {""rule"": ""referenced_act"", ""text"": ""the Act""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Defense Production Act of 1950, as amended (50 U.S.C. 4501 et seq.) (the \""Act\""), and section 301 of title 3, United States Code,"", ""pursuant to section 101 of the Act,""]"
35,https://www.presidency.ucsb.edu/documents/executive-order-14384-modifying-duties-address-threats-the-united-states-the-government,"February 06, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""19 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 6""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}, {""rule"": ""named_act"", ""text"": ""the Trade Act of 1974""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483), and section 301 of title 3, United States Code,""]"
36,https://www.presidency.ucsb.edu/documents/executive-order-14382-addressing-threats-the-united-states-the-government-iran,"February 06, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""19 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 6""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}, {""rule"": ""named_act"", ""text"": ""the Trade Act of 1974""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483), and section 301 of title 3, United States Code,""]"
37,https://www.presidency.ucsb.edu/documents/executive-order-14385-protecting-the-national-security-and-welfare-the-united-states-and,"February 06, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""6 U.S.C.""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including 6 U.S.C. 122(a)(2),""]"
38,https://www.presidency.ucsb.edu/documents/executive-order-14381-celebrating-american-greatness-with-american-motor-racing,"January 30, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
39,https://www.presidency.ucsb.edu/documents/executive-order-14379-addressing-addiction-through-the-great-american-recovery-initiative,"January 29, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
40,https://www.presidency.ucsb.edu/documents/executive-order-14380-addressing-threats-the-united-states-the-government-cuba,"January 29, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}, {""rule"": ""presidential_title_invocation"", ""text"": ""I, Donald J. Trump, President of the United States of America""}, {""rule"": ""presidential_title_capacity"", ""text"": ""President of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA), and section 301 of title 3, United States Code,"", ""Now, Therefore, I, Donald J. Trump, President of the United States of America, find that the situation with respect to Cuba constitutes an unusual and extraordinary threat, which has its source in whole or substantial part outside the United States,""]"
41,https://www.presidency.ucsb.edu/documents/executive-order-14378-continuance-the-federal-emergency-management-agency-review-council,"January 23, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""legal_title"", ""text"": ""title 5""}, {""rule"": ""legal_chapter"", ""text"": ""chapter 10""}, {""rule"": ""named_act"", ""text"": ""the Federal Advisory Committee Act""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, and consistent with chapter 10 of title 5, United States Code (commonly known as the Federal Advisory Committee Act),""]"
42,https://www.presidency.ucsb.edu/documents/executive-order-14377-addressing-state-and-local-failures-rebuild-los-angeles-after,"January 23, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
45,https://www.presidency.ucsb.edu/documents/executive-order-14374-establishing-second-emergency-board-investigate-disputes-between-the,"January 14, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States""}]","[{""rule"": ""legal_section"", ""text"": ""section 9""}]","[""by the authority vested in me as President by the Constitution and the laws of the United States, including section 9A of the RLA,""]"
46,https://www.presidency.ucsb.edu/documents/executive-order-14373-safeguarding-venezuelan-oil-revenue-for-the-good-the-american-and,"January 09, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA), and section 301 of title 3, United States Code,""]"
47,https://www.presidency.ucsb.edu/documents/executive-order-14372-prioritizing-the-warfighter-defense-contracting,"January 07, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
48,https://www.presidency.ucsb.edu/documents/executive-order-14368-adjustments-certain-rates-pay,"December 18, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""legal_section"", ""text"": ""section 5""}, {""rule"": ""legal_title"", ""text"": ""title 5""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America,"", ""Pursuant to section 5372 of title 5, United States Code,""]"
49,https://www.presidency.ucsb.edu/documents/executive-order-14369-ensuring-american-space-superiority,"December 18, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
50,https://www.presidency.ucsb.edu/documents/executive-order-14370-increasing-medical-marijuana-and-cannabidiol-research,"December 18, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
51,https://www.presidency.ucsb.edu/documents/executive-order-14371-providing-for-the-closing-executive-departments-and-agencies-the,"December 18, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
52,https://www.presidency.ucsb.edu/documents/executive-order-14367-designating-fentanyl-weapon-mass-destruction,"December 15, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
53,https://www.presidency.ucsb.edu/documents/executive-order-14366-protecting-american-investors-from-foreign-owned-and-politically,"December 11, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
54,https://www.presidency.ucsb.edu/documents/executive-order-14365-ensuring-national-policy-framework-for-artificial-intelligence,"December 11, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
55,https://www.presidency.ucsb.edu/documents/executive-order-14364-addressing-security-risks-from-price-fixing-and-anti-competitive,"December 06, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
56,https://www.presidency.ucsb.edu/documents/executive-order-14362-designation-certain-muslim-brotherhood-chapters-foreign-terrorist,"November 24, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""8 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""named_act"", ""text"": ""Nationality Act""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Immigration and Nationality Act (8 U.S.C. 1101 et seq.) (INA), and the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA),""]"
57,https://www.presidency.ucsb.edu/documents/executive-order-14363-launching-the-genesis-mission,"November 24, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
58,https://www.presidency.ucsb.edu/documents/executive-order-14361-modifying-the-scope-tariffs-the-government-brazil,"November 20, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""19 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 6""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}, {""rule"": ""named_act"", ""text"": ""the Trade Act of 1974""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483), and section 301 of title 3, United States Code,""]"
61,https://www.presidency.ucsb.edu/documents/executive-order-14357-modifying-duties-addressing-the-synthetic-opioid-supply-chain-the,"November 04, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""19 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 6""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}, {""rule"": ""named_act"", ""text"": ""the Trade Act of 1974""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483), and section 301 of title 3, United States Code,""]"
62,https://www.presidency.ucsb.edu/documents/executive-order-14358-modifying-reciprocal-tariff-rates-consistent-with-the-economic-and,"November 04, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""50 U.S.C.""}, {""rule"": ""usc"", ""text"": ""19 U.S.C.""}, {""rule"": ""legal_section"", ""text"": ""section 6""}, {""rule"": ""legal_section"", ""text"": ""section 3""}, {""rule"": ""legal_title"", ""text"": ""title 3""}, {""rule"": ""named_act"", ""text"": ""the International Emergency Economic Powers Act""}, {""rule"": ""named_act"", ""text"": ""the National Emergencies Act""}, {""rule"": ""named_act"", ""text"": ""the Trade Act of 1974""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483), and section 301 of title 3, United States Code,""]"
63,https://www.presidency.ucsb.edu/documents/executive-order-14356-ensuring-continued-accountability-federal-hiring,"October 15, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
64,https://www.presidency.ucsb.edu/documents/executive-order-14355-unlocking-cures-for-pediatric-cancer-with-artificial-intelligence,"September 30, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
65,https://www.presidency.ucsb.edu/documents/executive-order-14354-continuance-certain-federal-advisory-committees,"September 29, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""legal_title"", ""text"": ""title 5""}, {""rule"": ""legal_chapter"", ""text"": ""chapter 10""}, {""rule"": ""named_act"", ""text"": ""the Federal Advisory Committee Act""}]","[""By the authority vested in me as President by the Constitution and the laws of the United States of America, and consistent with chapter 10 of title 5, United States Code (commonly known as the Federal Advisory Committee Act),""]"
66,https://www.presidency.ucsb.edu/documents/executive-order-14353-assuring-the-security-the-state-qatar,"September 29, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America, and in recognition of the enduring alliance between the United States and the State of Qatar,""]"
67,https://www.presidency.ucsb.edu/documents/executive-order-14352-saving-tiktok-while-protecting-national-security,"September 25, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
68,https://www.presidency.ucsb.edu/documents/executive-order-14351-the-gold-card,"September 19, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
69,https://www.presidency.ucsb.edu/documents/executive-order-14349-establishing-emergency-board-investigate-disputes-between-the-long,"September 16, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,specific_statutory,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]","[{""rule"": ""legal_section"", ""text"": ""section 9""}]","[""by the authority vested in me as President by the Constitution and the laws of the United States of America, including section 9A of the RLA,""]"
70,https://www.presidency.ucsb.edu/documents/executive-order-14350-further-extending-the-tiktok-enforcement-delay,"September 16, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,"[{""rule"": ""constitution"", ""text"": ""the Constitution""}, {""rule"": ""laws_of_united_states"", ""text"": ""the laws of the United States of America""}]",[],"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
