child_id,child_document_type,child_identifier,referenced_document_type,referenced_identifier,referenced_title,referenced_date,reason,reference_text,context
5,memorandum,PPD-41,memorandum,PPD-8,,,outside_corpus,PPD-8,"Nothing in this directive alters, supersedes, or limits the authorities of Federal agencies to carry out their functions and duties consistent with applicable legal authorities and other Presidential guidance and directives. This directive generally relies on and furthers the implementation of existing policies and explains how United States cyber incident response structures interact with those existing policies. In particular, this policy complements and builds upon PPD-8 on National Preparedness of March 30, 2011. By integrating cyber and traditional preparedness efforts, the Nation will be ready to manage incidents that include both cyber and physical effects."
6,memorandum,PPD-30,memorandum,NSPD-12,,,outside_corpus,NSPD-12,"This Presidential Policy Directive (PPD), including its classified annex, supersedes and revokes NSPD-12, United States Citizens Taken Hostage Abroad, dated February 18, 2002, along with Annex 1 and Appendix A to NSPD-12, dated December 4, 2008. The policy directs a renewed, more agile United States Government response to hostage-takings of U.S. nationals and other specified individuals abroad. It establishes processes to enable consistent implementation of the policies set forth in this directive, to ensure close interagency coordination in order to employ all appropriate means to recover U.S. hostages held abroad, and to significantly enhance engagement with hostages' families. It also reaffirms the United States Government's personnel recovery policy, which seeks to prevent, prepare for, and respond to hostage-takings and other circumstances in which U.S. nationals are isolated from friendly support. This policy will thereby further important national security and foreign policy interests by strengthening the protections for U.S. nationals outside the United States."
6,memorandum,PPD-30,memorandum,NSPD-12,,,outside_corpus,NSPD-12,"This Presidential Policy Directive (PPD), including its classified annex, supersedes and revokes NSPD-12, United States Citizens Taken Hostage Abroad, dated February 18, 2002, along with Annex 1 and Appendix A to NSPD-12, dated December 4, 2008. The policy directs a renewed, more agile United States Government response to hostage-takings of U.S. nationals and other specified individuals abroad. It establishes processes to enable consistent implementation of the policies set forth in this directive, to ensure close interagency coordination in order to employ all appropriate means to recover U.S. hostages held abroad, and to significantly enhance engagement with hostages' families. It also reaffirms the United States Government's personnel recovery policy, which seeks to prevent, prepare for, and respond to hostage-takings and other circumstances in which U.S. nationals are isolated from friendly support. This policy will thereby further important national security and foreign policy interests by strengthening the protections for U.S. nationals outside the United States."
7,memorandum,PPD-28,memorandum,PPD-1,,,outside_corpus,PPD-1,"The Assistant to the President and National Security Advisor (APNSA), in consultation with the Director of National Intelligence (DNI), shall coordinate, on at least an annual basis, a review of the permissible uses of signals intelligence collected in bulk through the National Security Council Principals and Deputies Committee system identified in PPD-1 or any successor document. At the end of this review, I will be presented with recommended additions to or removals from the list of the permissible uses of signals intelligence collected in bulk."
7,memorandum,PPD-28,executive_order,12333,,,cross_type_reference,Executive Order 12333,• Dissemination: Personal information shall be disseminated only if the dissemination of comparable information concerning U.S. persons would be permitted under section 2.3 of Executive Order 12333.
7,memorandum,PPD-28,executive_order,12333,,,cross_type_reference,Executive Order 12333,"• Retention: Personal information shall be retained only if the retention of comparable information concerning U.S. persons would be permitted under section 2.3 of Executive Order 12333 and shall be subject to the same retention periods as applied to comparable information concerning U.S. persons. Information for which no such determination has been made shall not be retained for more than 5 years, unless the DNI expressly determines that continued retention is in the national security interests of the United States."
12,memorandum,NSPD-66,memorandum,HSPD-25,,,outside_corpus,HSPD-25,Homeland Security Presidential Directive/HSPD-25
12,memorandum,NSPD-66,memorandum,PDD-26,,,outside_corpus,PDD-26,A. This directive establishes the policy of the United States with respect to the Arctic region and directs related implementation actions. This directive supersedes Presidential Decision Directive/NSC-26 (PDD-26; issued 1994) with respect to Arctic policy but not Antarctic policy; PDD-26 remains in effect for Antarctic policy only.
12,memorandum,NSPD-66,memorandum,PDD-26,,,outside_corpus,PDD-26,A. This directive establishes the policy of the United States with respect to the Arctic region and directs related implementation actions. This directive supersedes Presidential Decision Directive/NSC-26 (PDD-26; issued 1994) with respect to Arctic policy but not Antarctic policy; PDD-26 remains in effect for Antarctic policy only.
13,memorandum,NSPD-59,memorandum,HSPD-24,,,outside_corpus,HSPD-24,Homeland Security Presidential Directive/HSPD-24
13,memorandum,NSPD-59,executive_order,12881,,,cross_type_reference,Executive Order 12881,(10)This directive is designed to (a) help ensure a common recognition of the value of using biometrics in identification and screening programs and (b) help achieve objectives described in the following: Executive Order 12881 (Establishment of the National Science and Technology Council); Homeland Security Presidential Directive6 (HSPD-6) (Integration and Use of Screening Information to Protect Against Terrorism); Executive Order 13354 (National Counterterrorism Center); Homeland Security Presidential Directive-11 (HSPD-11) (Comprehensive Terrorist Related Screening Procedures); Executive Order 13388 (Further Strengthening the Sharing of Terrorism Information to Protect Americans); National Security Presidential Directive-46/Homeland Security Presidential Directive-15 (NSPD-46/HSPD-15) (U.S. Policy and Strategy in the War on Terror); 2005 Information Sharing Guidelines; 2006 National Strategy for Combating Terrorism; 2006 National Strategy to Combat Terrorist Travel; 2007 National Strategy for Homeland Security; 2007 National Strategy for Information Sharing; and 2008 United States Intelligence Community Information Sharing Strategy.
13,memorandum,NSPD-59,memorandum,HSPD-6,,,outside_corpus,HSPD-6,(10)This directive is designed to (a) help ensure a common recognition of the value of using biometrics in identification and screening programs and (b) help achieve objectives described in the following: Executive Order 12881 (Establishment of the National Science and Technology Council); Homeland Security Presidential Directive6 (HSPD-6) (Integration and Use of Screening Information to Protect Against Terrorism); Executive Order 13354 (National Counterterrorism Center); Homeland Security Presidential Directive-11 (HSPD-11) (Comprehensive Terrorist Related Screening Procedures); Executive Order 13388 (Further Strengthening the Sharing of Terrorism Information to Protect Americans); National Security Presidential Directive-46/Homeland Security Presidential Directive-15 (NSPD-46/HSPD-15) (U.S. Policy and Strategy in the War on Terror); 2005 Information Sharing Guidelines; 2006 National Strategy for Combating Terrorism; 2006 National Strategy to Combat Terrorist Travel; 2007 National Strategy for Homeland Security; 2007 National Strategy for Information Sharing; and 2008 United States Intelligence Community Information Sharing Strategy.
13,memorandum,NSPD-59,executive_order,13354,,,outside_corpus,Executive Order 13354,(10)This directive is designed to (a) help ensure a common recognition of the value of using biometrics in identification and screening programs and (b) help achieve objectives described in the following: Executive Order 12881 (Establishment of the National Science and Technology Council); Homeland Security Presidential Directive6 (HSPD-6) (Integration and Use of Screening Information to Protect Against Terrorism); Executive Order 13354 (National Counterterrorism Center); Homeland Security Presidential Directive-11 (HSPD-11) (Comprehensive Terrorist Related Screening Procedures); Executive Order 13388 (Further Strengthening the Sharing of Terrorism Information to Protect Americans); National Security Presidential Directive-46/Homeland Security Presidential Directive-15 (NSPD-46/HSPD-15) (U.S. Policy and Strategy in the War on Terror); 2005 Information Sharing Guidelines; 2006 National Strategy for Combating Terrorism; 2006 National Strategy to Combat Terrorist Travel; 2007 National Strategy for Homeland Security; 2007 National Strategy for Information Sharing; and 2008 United States Intelligence Community Information Sharing Strategy.
13,memorandum,NSPD-59,memorandum,HSPD-11,,,outside_corpus,HSPD-11,(10)This directive is designed to (a) help ensure a common recognition of the value of using biometrics in identification and screening programs and (b) help achieve objectives described in the following: Executive Order 12881 (Establishment of the National Science and Technology Council); Homeland Security Presidential Directive6 (HSPD-6) (Integration and Use of Screening Information to Protect Against Terrorism); Executive Order 13354 (National Counterterrorism Center); Homeland Security Presidential Directive-11 (HSPD-11) (Comprehensive Terrorist Related Screening Procedures); Executive Order 13388 (Further Strengthening the Sharing of Terrorism Information to Protect Americans); National Security Presidential Directive-46/Homeland Security Presidential Directive-15 (NSPD-46/HSPD-15) (U.S. Policy and Strategy in the War on Terror); 2005 Information Sharing Guidelines; 2006 National Strategy for Combating Terrorism; 2006 National Strategy to Combat Terrorist Travel; 2007 National Strategy for Homeland Security; 2007 National Strategy for Information Sharing; and 2008 United States Intelligence Community Information Sharing Strategy.
13,memorandum,NSPD-59,executive_order,13388,,,cross_type_reference,Executive Order 13388,(10)This directive is designed to (a) help ensure a common recognition of the value of using biometrics in identification and screening programs and (b) help achieve objectives described in the following: Executive Order 12881 (Establishment of the National Science and Technology Council); Homeland Security Presidential Directive6 (HSPD-6) (Integration and Use of Screening Information to Protect Against Terrorism); Executive Order 13354 (National Counterterrorism Center); Homeland Security Presidential Directive-11 (HSPD-11) (Comprehensive Terrorist Related Screening Procedures); Executive Order 13388 (Further Strengthening the Sharing of Terrorism Information to Protect Americans); National Security Presidential Directive-46/Homeland Security Presidential Directive-15 (NSPD-46/HSPD-15) (U.S. Policy and Strategy in the War on Terror); 2005 Information Sharing Guidelines; 2006 National Strategy for Combating Terrorism; 2006 National Strategy to Combat Terrorist Travel; 2007 National Strategy for Homeland Security; 2007 National Strategy for Information Sharing; and 2008 United States Intelligence Community Information Sharing Strategy.
13,memorandum,NSPD-59,memorandum,NSPD-46,,,outside_corpus,NSPD-46,(10)This directive is designed to (a) help ensure a common recognition of the value of using biometrics in identification and screening programs and (b) help achieve objectives described in the following: Executive Order 12881 (Establishment of the National Science and Technology Council); Homeland Security Presidential Directive6 (HSPD-6) (Integration and Use of Screening Information to Protect Against Terrorism); Executive Order 13354 (National Counterterrorism Center); Homeland Security Presidential Directive-11 (HSPD-11) (Comprehensive Terrorist Related Screening Procedures); Executive Order 13388 (Further Strengthening the Sharing of Terrorism Information to Protect Americans); National Security Presidential Directive-46/Homeland Security Presidential Directive-15 (NSPD-46/HSPD-15) (U.S. Policy and Strategy in the War on Terror); 2005 Information Sharing Guidelines; 2006 National Strategy for Combating Terrorism; 2006 National Strategy to Combat Terrorist Travel; 2007 National Strategy for Homeland Security; 2007 National Strategy for Information Sharing; and 2008 United States Intelligence Community Information Sharing Strategy.
13,memorandum,NSPD-59,memorandum,HSPD-15,,,outside_corpus,HSPD-15,(10)This directive is designed to (a) help ensure a common recognition of the value of using biometrics in identification and screening programs and (b) help achieve objectives described in the following: Executive Order 12881 (Establishment of the National Science and Technology Council); Homeland Security Presidential Directive6 (HSPD-6) (Integration and Use of Screening Information to Protect Against Terrorism); Executive Order 13354 (National Counterterrorism Center); Homeland Security Presidential Directive-11 (HSPD-11) (Comprehensive Terrorist Related Screening Procedures); Executive Order 13388 (Further Strengthening the Sharing of Terrorism Information to Protect Americans); National Security Presidential Directive-46/Homeland Security Presidential Directive-15 (NSPD-46/HSPD-15) (U.S. Policy and Strategy in the War on Terror); 2005 Information Sharing Guidelines; 2006 National Strategy for Combating Terrorism; 2006 National Strategy to Combat Terrorist Travel; 2007 National Strategy for Homeland Security; 2007 National Strategy for Information Sharing; and 2008 United States Intelligence Community Information Sharing Strategy.
18,memorandum,,memorandum,HSPD-6,,,outside_corpus,HSPD- 6,"(2) This directive builds upon HSPD- 6, ""Integration and Use of Screening Information to Protect Against Terrorism."" The Terrorist Screening Center (TSC), which was established and is administered by the Attorney General pursuant to HSPD-6, enables Government officials to check individuals against a consolidated Terrorist Screening Center Database. Other screening activities underway within the Terrorist Threat Integration Center (TTIC) and the Department of Homeland Security further strengthen the ability of the United States Government to protect the people, property, and territory of the United States against acts of terrorism."
18,memorandum,,memorandum,HSPD-6,,,outside_corpus,HSPD-6,"(2) This directive builds upon HSPD- 6, ""Integration and Use of Screening Information to Protect Against Terrorism."" The Terrorist Screening Center (TSC), which was established and is administered by the Attorney General pursuant to HSPD-6, enables Government officials to check individuals against a consolidated Terrorist Screening Center Database. Other screening activities underway within the Terrorist Threat Integration Center (TTIC) and the Department of Homeland Security further strengthen the ability of the United States Government to protect the people, property, and territory of the United States against acts of terrorism."
18,memorandum,,memorandum,HSPD-6,,,outside_corpus,HSPD- 6,"(e) mechanisms to address data inaccuracies, including names inaccurately contained in the terrorist screening data consolidated pursuant to HSPD- 6;"
19,memorandum,,memorandum,HSPD-7,,,outside_corpus,HSPD-7,"(6) As established in Homeland Security Presidential Directive-7 (HSPD-7), the Secretary of Homeland Security is responsible for coordinating the overall national effort to enhance the protection of the critical infrastructure and key resources of the United States. The Secretary of Homeland Security shall serve as the principal Federal official to lead, integrate, and coordinate implementation of efforts among Federal departments and agencies, State and local governments, and the private sector to protect critical infrastructure and key resources. This directive shall be implemented in a manner consistent with HSPD-7."
19,memorandum,,memorandum,HSPD-7,,,outside_corpus,HSPD-7,"(6) As established in Homeland Security Presidential Directive-7 (HSPD-7), the Secretary of Homeland Security is responsible for coordinating the overall national effort to enhance the protection of the critical infrastructure and key resources of the United States. The Secretary of Homeland Security shall serve as the principal Federal official to lead, integrate, and coordinate implementation of efforts among Federal departments and agencies, State and local governments, and the private sector to protect critical infrastructure and key resources. This directive shall be implemented in a manner consistent with HSPD-7."
19,memorandum,,memorandum,HSPD-7,,,outside_corpus,HSPD-7,"(7) The Secretaries of Agriculture, Health and Human Services, and the Administrator of the Environmental Protection Agency will perform their responsibilities as Sector-Specific Agencies as delineated in HSPD-7."
19,memorandum,,memorandum,HSPD-8,,,outside_corpus,HSPD-8,"(14) The Secretary of Homeland Security, in coordination with the Secretaries of Agriculture, Health and Human Services, the Attorney General, and the Administrator of the Environmental Protection Agency, will ensure that the combined Federal, State, and local response capabilities are adequate to respond quickly and effectively to a terrorist attack, major disease outbreak, or other disaster affecting the national agriculture or food infrastructure. These activities will be integrated with other national homeland security preparedness activities developed under HSPD-8 on National Preparedness."
21,memorandum,,memorandum,HSPD-5,,,outside_corpus,HSPD-5,Relationship to HSPD-5
21,memorandum,,memorandum,HSPD-5,,,outside_corpus,HSPD-5,"(3) This directive is a companion to HSPD-5, which identifies steps for improved coordination in response to incidents. This directive describes the way Federal departments and agencies will prepare for such a response, including prevention activities during the early stages of a terrorism incident."
23,memorandum,,executive_order,12333,,,cross_type_reference,Executive Order 12333,"(8) The Attorney General has lead responsibility for criminal investigations of terrorist acts or terrorist threats by individuals or groups inside the United States, or directed at United States citizens or institutions abroad, where such acts are within the Federal criminal jurisdiction of the United States, as well as for related intelligence collection activities within the United States, subject to the National Security Act of 1947 and other applicable law, Executive Order 12333, and Attorney General-approved procedures pursuant to that Executive Order. Generally acting through the Federal Bureau of Investigation, the Attorney General, in cooperation with other Federal departments and agencies engaged in activities to protect our national security, shall also coordinate the activities of the other members of the law enforcement community to detect, prevent, preempt, and disrupt terrorist attacks against the United States. Following a terrorist threat or an actual incident that falls within the criminal jurisdiction of the United States, the full capabilities of the United States shall be dedicated, consistent with United States law and with activities of other Federal departments and agencies to protect our national security, to assisting the Attorney General to identify the perpetrators and bring them to justice. The Attorney General and the Secretary shall establish appropriate relationships and mechanisms for cooperation and coordination between their two departments."
23,memorandum,,memorandum,NSPD-1,,,outside_corpus,NSPD-1,Technical and Conforming Amendments to National Security Presidential Directive-1 (NSPD-1)
23,memorandum,,memorandum,NSPD-1,,,outside_corpus,NSPD-1,"(21) NSPD-1 (""Organization of the National Security Council System"") is amended by replacing the fifth sentence of the third paragraph on the first page with the following: ""The Attorney General, the Secretary of Homeland Security, and the Director of the Office of Management and Budget shall be invited to attend meetings pertaining to their responsibilities.""."
23,memorandum,,memorandum,NSPD-8,,,outside_corpus,NSPD-8,Technical and Conforming Amendments to National Security Presidential Directive-8 (NSPD-8)
23,memorandum,,memorandum,NSPD-8,,,outside_corpus,NSPD-8,"(22) NSPD-8 (""National Director and Deputy National Security Advisor for Combating Terrorism"") is amended by striking ""and the Office of Homeland Security,"" on page 4, and inserting ""the Department of Homeland Security, and the Homeland Security Council"" in lieu thereof."
23,memorandum,,memorandum,HSPD-2,,,outside_corpus,HSPD-2,Technical and Conforming Amendments to Homeland Security Presidential Directive- 2 (HSPD-2)
23,memorandum,,memorandum,HSPD-2,,,outside_corpus,HSPD-2,"(23) HSPD-2 (""Combating Terrorism Through Immigration Policies"") is amended as follows:"
23,memorandum,,memorandum,HSPD-3,,,outside_corpus,HSPD-3,Technical and Conforming Amendments to Homeland Security Presidential Directive- 3 (HSPD-3)
23,memorandum,,memorandum,HSPD-3,,,outside_corpus,HSPD-3,"(24) The Homeland Security Act of 2002 assigned the responsibility for administering the Homeland Security Advisory System to the Secretary of Homeland Security. Accordingly, HSPD-3 of March 11, 2002 (""Homeland Security Advisory System"") is amended as follows:"
26,memorandum,,executive_order,13228,,,cross_type_reference,Executive Order 13228,The Vice President may attend any and all meetings of any entity established by or under this directive. This directive shall be construed in a manner consistent with Executive Order 13228.
29,memorandum,,executive_order,9835,,,outside_corpus,Executive Order No. 9835,"The efficient and just administration of the Employee Loyalty Program, under Executive Order No. 9835 of March 21, 1947, requires that reports, records, and files relative to the program be preserved in strict confidence. This is necessary in the interest of our national security and welfare, to preserve the confidential character and sources of information furnished, and to protect Government personnel against the dissemination of unfounded or disproved allegations. It is necessary also in order to insure the fair and just disposition of loyalty cases."
30,executive_order,14388,executive_order,14193,,,outside_corpus,Executive Order 14193,"Section 1. Background. In several Executive Orders, including Executive Order 14193 of February 1, 2025 (Imposing Duties To Address the Flow of Illicit Drugs Across Our Northern Border), as amended; Executive Order 14194 of February 1, 2025 (Imposing Duties To Address the Situation at Our Southern Border), as amended; Executive Order 14195 of February 1, 2025 (Imposing Duties To Address the Synthetic Opioid Supply Chain in the People's Republic of China), as amended; Executive Order 14257 of April 2, 2025 (Regulating Imports With a Reciprocal Tariff To Rectify Trade Practices That Contribute to Large and Persistent Annual United States Goods Trade Deficits), as amended; and Executive Order 14324 of July 30, 2025 (Suspending Duty-Free De Minimis Treatment for All Countries), I declared or described national emergencies with respect to unusual and extraordinary threats to the national security, foreign policy, or economy of the United States and took action to deal with those threats, including suspending duty-free de minimis treatment under 19 U.S.C. 1321(a)(2)(C) for certain imports."
30,executive_order,14388,executive_order,14193,,,outside_corpus,Executive Order 14193,"As relevant here, in section 3 of Executive Order 14324, I set forth the duty rates applicable to shipments sent to the United States through the international postal network that would otherwise qualify for the de minimis exemption under 19 U.S.C. 1321(a)(2)(C). These duty rates were based on the additional duty rates imposed by Executive Orders issued under IEEPA, including Executive Order 14193, as amended; Executive Order 14194, as amended; Executive Order 14195, as amended; and Executive Order 14257, as amended."
