authority,occurrences,delegation,classification,review_flag,rationale,source_url
act:the-defense-production-act-of-1950:722(b)(2),1,1,YES,0,Gives the President the designation function for the relevant Defense Production Act body/chair.,https://obamawhitehouse.archives.gov/the-press-office/presidential-memorandum-designating-chairperson-defense-production-act-committee
act:the-deficit-reduction-act-of-1984:2207,1,1,YES,0,Provides an operative presidential pay-adjustment function.,https://www.reaganlibrary.gov/archives/speech/executive-order-12487-adjustments-certain-rates-pay
act:the-department-of-defense-appropriation-authorization-act:801(c),1,1,YES,0,Vested the President with authority to make corresponding cost-of-living/pay adjustments.,https://tile.loc.gov/storage-services/service/ll/fedreg/fr042/fr042005/fr042005.pdf
act:the-department-of-defense-appropriations-act:9012,1,1,YES,0,Includes discretionary presidential waiver authority upon a national-security certification.,https://www.congress.gov/bill/108th-congress/house-bill/4613
act:the-department-of-defense-authorization-act:1511,1,1,YES,0,Directs the President to establish the Chemical Warfare Review Commission.,https://dair.nps.edu/bitstream/123456789/3823/1/SEC809-RL-84-0183.pdf
act:the-department-of-education-organization-act:103,1,0,NO,0,"Limitation preserving state/local control of education, not an affirmative presidential grant.",https://www.ed.gov/media/document/acsos1105pdf-56480.pdf
act:the-economic-cooperation-act-of-1948:109(d),2,1,YES,0,Vested presidential authority concerning functions of U.S. representatives/high commissioners.,https://www.presidency.ucsb.edu/documents/executive-order-10063-defining-certain-functions-the-united-states-high-commissioner-for
act:the-economic-opportunity-act-of-1964:1012,1,1,YES,0,Expressly permits the President to direct federal agencies to provide support functions to the Corporation.,https://www.law.cornell.edu/uscode/text/42/2996k
act:the-energy-policy-act-of-1992:152,1,0,NO,0,"Energy-efficiency implementation obligations fall principally on federal agencies, not the President.",https://www.congress.gov/105/crec/1997/07/21/143/103/CREC-1997-07-21.pdf
act:the-excise-tax-reduction-act-of-1965:601(a),1,1,YES,0,Amendatory provision forming part of statutory authority for presidential authorization of tax-return inspection.,https://www.presidency.ucsb.edu/documents/executive-order-11697-inspection-department-agriculture-income-tax-returns-made-under-the
act:the-expansion-act:212,1,1,YES,0,Gave the President discretion to exceed otherwise applicable tariff-reduction limits for specified agricultural commodities.,https://www.finance.senate.gov/download/1962/07/23/trade-extension-act-of-1962-part-1-july-23-26-1962%26download%3D1
act:the-export-administration-act-of-1979:6(j)(1)(a),1,0,NO,0,"The operative terrorism-support determination is assigned to the Secretary of State, not the President.",https://www.law.cornell.edu/uscode/text/10/361
act:the-federal-acquisition-streamlining-act-of-1994:7106,1,1,YES,0,"Amended Small Business Act section 15(g), expanding Government-wide procurement goals established by the President.",https://uscode.house.gov/view.xhtml?req=%28title%3A15+section%3A644%29
act:the-federal-civil-penalties-inflation-adjustment-act-of-1990:4,1,0,NO,0,"Original section 4 imposed a presidential reporting requirement, not operative rulemaking or waiver authority.",https://www.govinfo.gov/content/pkg/GPO-CRECB-1990-pt2/pdf/GPO-CRECB-1990-pt2-5-2.pdf
act:the-federal-civil-penalties-inflation-adjustment-act-of-1990:6,1,0,NO,0,Reporting provision rather than substantive presidential authority.,https://www.govinfo.gov/content/pkg/GPO-CRECB-1990-pt2/pdf/GPO-CRECB-1990-pt2-5-2.pdf
act:the-federal-energy-administration-act-of-1974:30,1,1,YES,0,Vested the President with authority to prescribe the effective date of the Act/agency provisions.,https://archives.federalregister.gov/issue_slice/1974/6/27/23183-23191.pdf
act:the-freedom-support-act:508,1,0,NO,0,Notice/report-to-Congress requirement concerning assistance; no substantive presidential discretion.,https://www.congress.gov/109/cprt/JPRT25514/CPRT-109JPRT25514.pdf
act:the-general-education-provisions-act:438,1,0,NO,0,Restricts federal control over educational institutions/curricula; no presidential power.,https://www.govinfo.gov/content/pkg/COMPS-732/pdf/COMPS-732.pdf
act:the-general-education-provisions-act:447,1,0,NO,0,Statutory limitation rather than a delegation of presidential authority.,https://uscode.house.gov/view.xhtml?edition=prelim&path=%2Fprelim%40title20%2Fchapter31
act:the-highway-safety-act-of-1966:201,1,1,YES,0,Authorized the President to carry out national traffic/motor-vehicle safety legislation through the newly created agency/administrator.,https://www.congress.gov/89/crecb/1966/08/31/GPO-CRECB-1966-pt16-3-1.pdf
act:the-homeland-security-act-of-2002:892,1,1,YES,0,Assigns the President an operative function to prescribe and implement homeland-security information-sharing procedures.,https://www.everycrsreport.com/reports/RL33303.html
act:the-homeland-security-act-of-2002:893,1,0,NO,0,Requires a presidential implementation report to Congress.,https://www.wipo.int/wipolex/ar/legislation/details/14808
act:the-horn-of-africa-recovery-and-food-security-act:9,1,0,NO,0,Presidential reporting requirement.,https://www.presidency.ucsb.edu/documents/memorandum-delegation-authority-regarding-the-horn-africa-recovery-and-food-security-act
act:the-immigration-and-nationality-act:274a(d)(3)(a),1,0,NO,0,Notice/publication requirements before changes to the employment-verification system; operative authority is elsewhere in section 274A(d).,https://uscode.house.gov/view.xhtml?edition=prelim&hl=false&num=0&req=granuleid%3AUSC-1994-title8-section1324a
act:the-independent-offices-appropriation-act:214,1,0,NO,0,Funding/interagency-administration provision; no independent presidential authority.,https://www.gao.gov/products/b-219742
act:the-jfta-act:102,1,0,NO,0,Jordan FTA section 102 concerns rules of origin; presidential proclamation authority is principally in section 101.,https://www.congress.gov/committee-report/107th-congress/senate-report/59/1
act:the-libyan-claims-resolution-act:5(a)(2),1,0,NO,0,The relevant certification is made by the Secretary of State.,https://www.govinfo.gov/content/pkg/USCODE-2023-title28/pdf/USCODE-2023-title28-partIV-chap97.pdf
act:the-military-construction-authorization-act:2819,1,1,YES,0,Directs the President to establish the Commission on Alternative Utilization of Military Facilities.,https://en.wikisource.org/wiki/Page:United_States_Statutes_at_Large_Volume_102_Part_2.djvu/1115
act:the-miscellaneous-trade-act:1558,1,0,NO,0,Amended CBERA eligibility/tariff rules but did not itself independently confer operative proclamation power on the President.,https://www.govinfo.gov/content/pkg/FR-2005-06-30/pdf/05-13182.pdf
act:the-mutual-security-act-of-1951:507,2,1,YES,0,Gave the President authority to prescribe coordination procedures for U.S. representatives abroad.,https://www.presidency.ucsb.edu/documents/executive-order-10380-defining-certain-functions-the-united-states-high-commissioner-for
act:the-national-aeronautics-and-space-administration-authorization-act-of-1986:109,1,0,NO,0,Extended a deadline for a commission report; no independent presidential discretion.,https://www.reaganlibrary.gov/public/digitallibrary/smof/counsel/roberts/box-033/40-485-6908381-033-004-2017.pdf
act:the-national-aeronautics-and-space-administration-authorization-act-of-2005:101(c),1,1,YES,0,"Assigns the President, acting through NASA and in consultation with others, responsibility to develop a national aeronautics policy.",https://www.congress.gov/committee-report/109th-congress/house-report/173/1
act:the-national-defense-authorization-act:1051(b),1,0,NO,0,Annual presidential counterterrorism-funding report.,https://www.govinfo.gov/content/pkg/CRECB-1999-pt14/pdf/CRECB-1999-pt14-Pg20253.pdf
act:the-national-defense-authorization-act:1206,1,0,NO,1,Citation is year-ambiguous; plausible versions do not yield a presidential delegation.,https://www.presidency.ucsb.edu/documents/memorandum-delegation-reporting-functions-specified-section-1206b-the-national-defense
act:the-national-defense-authorization-act:3203,1,1,YES,0,Amendatory stockpile provision leaves/designates an operative managerial function subject to presidential direction.,https://www.law.cornell.edu/uscode/text/50/98
act:the-national-security-act-of-1947:303,1,0,NO,1,Section 303 itself vested functions in subordinate officials; a later Reorganization Plan transferred functions to the President.,https://www.govinfo.gov/content/pkg/CPRT-89SPRT70554O/pdf/CPRT-89SPRT70554O.pdf
act:the-occupational-safety-and-health-act-of-1970:19,1,0,NO,0,Places occupational-safety responsibilities on federal agency heads; presidential EO authority came from other law.,https://archives.federalregister.gov/issue_slice/1971/7/28/13885-13893.pdf
act:the-omnibus-budget-reconciliation-act-of-1983:202,1,0,NO,0,Restricts/conditions a preexisting comparability-pay authority rather than granting new presidential authority.,https://www.congress.gov/98/crecb/1984/04/24/GPO-CRECB-1984-pt7-3.pdf
act:the-omnibus-judgeship-act-of-1978:7(a),1,1,YES,0,Required the President to promulgate and publish standards and guidelines for selecting district-court nominees.,https://www.govinfo.gov/content/pkg/FR-1978-11-13/pdf/FR-1978-11-13.pdf
act:the-omnibus-trade-and-competitiveness-act-of-1988:1211(c),1,1,YES,0,Express presidential proclamation authority to make specified HTS modifications.,https://www.presidency.ucsb.edu/documents/proclamation-6151-modification-import-restrictions-for-certain-agricultural-products
act:the-omnibus-trade-and-competitiveness-act-of-1988:5164,1,0,NO,0,"Metric-conversion amendment imposes requirements principally on federal agencies, not a distinct presidential function.",https://www.cia.gov/readingroom/document/cia-rdp90m00005r001400030001-8
act:the-small-business-act:15(g),1,1,YES,0,Directs the President to establish annual Government-wide small-business procurement goals.,https://uscode.house.gov/view.xhtml?req=%28title%3A15+section%3A644%29
act:the-social-security-act:459,1,0,NO,0,Establishes federal consent to garnishment/income withholding; presidential regulatory authority was supplied elsewhere.,https://www.archives.gov/federal-register/codification/executive-order/12105.html
act:the-supplemental-appropriations-act:204,1,0,NO,0,Supports/continues the International Women's Year commission but does not independently delegate presidential power.,https://upload.wikimedia.org/wikipedia/commons/3/32/Federal_Register_1975-11-26-_Vol_40_Iss_229_%28IA_sim_federal-register-find_1975-11-26_40_229%29.pdf
act:the-trade-act-of-1974:301,1,1,YES,0,Historically vested retaliatory/unfair-trade action authority in the President.,https://www.congress.gov/crs_external_products/R/PDF/R46604/R46604.4.pdf
act:the-trade-act-of-2010:201,2,0,NO,0,Amended duration/availability of Andean trade preferences; operative HTS-changing authority came from other law.,https://www.presidency.ucsb.edu/documents/proclamation-8818-implement-the-united-states-colombia-trade-promotion-agreement-and-for
act:the-trade-act:503(c)(i),1,1,YES,1,"Assuming the parser means Trade Act section 503(c)(1), this is part of the presidential GSP designation/withdrawal authority.",https://www.govinfo.gov/content/pkg/CDOC-105hdoc88/pdf/CDOC-105hdoc88.pdf
act:the-trade-agreements-act-of-1979:2,1,1,YES,0,Gives the President authority to accept/apply multilateral trade agreements upon statutory determinations.,https://tile.loc.gov/storage-services/service/ll/uscode/uscode1976-02201/uscode1976-022019013/uscode1976-022019013.pdf
act:the-trade-agreements-extension-act-of-1951:5,2,1,YES,0,"Directs/authorizes the President to suspend, withdraw, or prevent application of trade concessions to specified Communist countries.",https://www.govinfo.gov/content/pkg/SERIALSET-11657_00_00-007-0525-0000/pdf/SERIALSET-11657_00_00-007-0525-0000.pdf
act:the-trade-agreements-extension-act-of-1958:3(a),2,1,YES,0,Extended/amended the President's tariff-negotiation and proclamation authority.,https://www.presidency.ucsb.edu/documents/proclamation-3317-further-amendment-proclamation-no-3160-relating-certain-woolen-textiles
act:the-unfunded-mandates-reform-act-of-1995:204(c),1,1,YES,0,Requires the President to issue guidelines and instructions to federal agencies.,https://www.law.cornell.edu/uscode/text/2/1534
act:the-united-states-israel-free-trade-area-implementation-act-of-1985:8(b)(2),1,1,YES,0,Express proclamation authority to embody GSP-related actions in the tariff schedules.,https://www.reaganlibrary.gov/archives/speech/proclamation-5365-implement-reductions-us-rates-duty-pursuant-united-states-israel
act:the-usafta-act:203(o),1,1,YES,0,Explicitly permits the President to proclaim modifications to rules of origin under the Australia FTA.,https://www.presidency.ucsb.edu/documents/proclamation-8097-modify-the-harmonized-tariff-schedule-the-united-states-adjust-rules
act:the-usbfta-implementation-act:202,2,1,YES,0,Bahrain FTA implementation provision includes express presidential proclamation authority over rules of origin.,https://www.presidency.ucsb.edu/documents/proclamation-8596-adjust-the-rules-origin-under-the-united-states-bahrain-free-trade
act:the-uscfta-act:201(b),1,1,YES,0,Authorizes the President to proclaim further tariff modifications implementing the Chile FTA.,https://www.congress.gov/committee-report/108th-congress/senate-report/116/1
act:the-water-pollution-control-act:1,1,0,NO,0,Declaration of federal water-pollution policy; not a grant of presidential authority.,https://www.trumanlibrary.gov/library/executive-orders/10014/executive-order-10014
act:title-10-of-the-united-states-code-as-added-by-section-1-of-the-act:1455,1,1,YES,0,Directs the President to prescribe regulations concerning the Survivor Benefit Plan.,https://uscodeweb1.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title10-section1455
act:title-i-of-the-military-reservist-and-veteran-small-business-reauthorization-and-opportunity-act-of-2008:102,1,0,NO,0,Creates a task force whose establishment/appointments are principally assigned to the SBA Administrator.,https://www.govinfo.gov/content/pkg/FR-2010-04-29/pdf/FR-2010-04-29.pdf
public-law:90-207,2,1,YES,0,Broad citation to a law containing operative presidential uniformed-services pay-adjustment authority.,https://www.presidency.ucsb.edu/documents/executive-order-11475-adjusting-the-rates-monthly-basic-pay-for-members-the-uniformed
stat:58:703,2,1,YES,0,Historical citation covering Public Health Service Act authority under which the President could specify quarantinable diseases by Executive order.,https://www.presidency.ucsb.edu/documents/executive-order-9708-specifying-communicable-diseases-for-the-purpose-regulations
stat:81:654,2,1,YES,0,Statutes-at-Large citation to uniformed-services pay-adjustment authority associated with Pub. L. 90-207.,https://www.presidency.ucsb.edu/documents/executive-order-11475-adjusting-the-rates-monthly-basic-pay-for-members-the-uniformed
stat:90:835,2,1,YES,0,"Contains express authority for the President, by Executive order, to prescribe regulations and make the specified Foreign Service retirement extension retroactive.",https://www.usagm.gov/wp-content/media/2016/06/Foreign-Relations-Authorization-Act-FY1977.pdf
usc:16:1431,2,0,NO,0,"National Marine Sanctuaries Act findings, purposes, and policy; no presidential grant.",https://uscode.house.gov/view.xhtml?req=%28title%3A16+section%3A1431+edition%3Aprelim%29
usc:16:1531,2,0,NO,0,"Endangered Species Act findings, purposes, and policy; no presidential delegation.",https://www.law.cornell.edu/uscode/text/16/1531
usc:16:742a,2,0,NO,0,Fish and Wildlife Act purposes/policies; cited in furtherance of policy rather than as a grant of presidential power.,https://clintonwhitehouse6.archives.gov/1996/03/1996-03-25-executive-order-on-national-wildlife-refuge-system.html
usc:18:473,2,0,NO,0,Criminal prohibition concerning counterfeit U.S. obligations or securities; no presidential authority.,https://uscode.house.gov/view.xhtml?req=%28title%3A18+section%3A473+edition%3Aprelim%29
usc:19:2441,2,1,YES,0,Historical Trade Act provision required the President to establish the East-West Foreign Trade Board.,https://www.presidency.ucsb.edu/documents/executive-order-11894-adding-the-membership-the-east-west-foreign-trade-board
usc:19:50,2,0,NO,0,"Historical customs provision empowering customs officers/collectors to administer oaths, not the President.",https://uscode.house.gov/download/annualhistoricalarchives/pdf/2006/2006usc19.pdf
usc:22:2291(h)(2)(a)(ii),2,1,YES,0,Historical Foreign Assistance Act provision gave the President a substantive national-interest determination/certification function.,https://www.presidency.ucsb.edu/documents/presidential-determination-no-92-18-memorandum-certification-for-major-narcotics-producing
usc:22:2291(h)(6),2,1,YES,0,Historical provision gave the President a country-specific determination/certification power.,https://www.presidency.ucsb.edu/documents/memorandum-narcotics-control-certification-for-panama
usc:22:3963,2,1,YES,0,Directs the President to establish the Foreign Service Schedule and related salary classes/rates.,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title22-section3963
usc:33:1251,2,0,NO,0,"Clean Water Act declaration of goals and national policy, not an affirmative presidential grant.",https://uscode.house.gov/view.xhtml?edition=prelim&path=%2Fprelim%40title33%2Fchapter26%2Fsubchapter1
usc:40:3,2,0,NO,0,Historical organizational/property provision; no independent delegation to the President.,https://law.justia.com/codes/us/1994/title40/chap1/sec2/
usc:5:301,2,0,NO,0,"Authority belongs to the head of an Executive or military department, not to the President.",https://uscode.house.gov/view.xhtml?edition=2005&req=granuleid%3AUSC-2005-title5
usc:5:5561,2,0,NO,1,Bare section is a definitions provision; a citation to section 5561 note could yield a different answer.,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title5-section5561
usc:7:426,2,0,NO,0,"Animal-damage-control authority is assigned to the Secretary of Agriculture, not the President.",https://www.reaganlibrary.gov/sites/default/files/2026-02/40-052-12006495-H73-008-2025.pdf
