document_id,document_type,identifier,title,date,url,sample_id,partition
2247,executive_order,12172,iranian aliens,"November 26, 1979",https://www.presidency.ucsb.edu/documents/executive-order-12172-iranian-aliens,EO0022,development
1072,executive_order,13347,individuals with disabilities emergency preparedness,"July 22, 2004",https://www.presidency.ucsb.edu/documents/executive-order-13347-individuals-with-disabilities-emergency-preparedness,EO0023,segmentation_vesting_holdout
4308,executive_order,10115,restoring certain land reserved for military purposes the,"March 08, 1950",https://www.presidency.ucsb.edu/documents/executive-order-10115-restoring-certain-land-reserved-for-military-purposes-the,EO0024,development
3800,executive_order,10622,creating emergency board investigate dispute between the railway,"July 01, 1955",https://www.presidency.ucsb.edu/documents/executive-order-10622-creating-emergency-board-investigate-dispute-between-the-railway,EO0025,segmentation_vesting_holdout
3871,executive_order,10551,inspection income excess profits declared value excess profits,"August 06, 1954",https://www.presidency.ucsb.edu/documents/executive-order-10551-inspection-income-excess-profits-declared-value-excess-profits,EO0026,development
2432,executive_order,11992,committee selection federal judicial officers,"May 24, 1977",https://www.presidency.ucsb.edu/documents/executive-order-11992-committee-selection-federal-judicial-officers,EO0027,development
4485,executive_order,9940,creating emergency board investigate dispute between the railway,"March 25, 1948",https://www.presidency.ucsb.edu/documents/executive-order-9940-creating-emergency-board-investigate-dispute-between-the-railway,EO0028,development
473,executive_order,13945,fighting the spread covid 19 providing assistance renters and,"August 08, 2020",https://www.presidency.ucsb.edu/documents/executive-order-13945-fighting-the-spread-covid-19-providing-assistance-renters-and,EO0029,development
3874,executive_order,10549,providing for the placing positions the department defense grades 16,"August 02, 1954",https://www.presidency.ucsb.edu/documents/executive-order-10549-providing-for-the-placing-positions-the-department-defense-grades-16,EO0030,development
1312,executive_order,13107,implementation human rights treaties,"December 10, 1998",https://www.presidency.ucsb.edu/documents/executive-order-13107-implementation-human-rights-treaties,EO0031,development
2700,executive_order,11719,inspection income estate and gift tax returns the committee public,"May 17, 1973",https://www.presidency.ucsb.edu/documents/executive-order-11719-inspection-income-estate-and-gift-tax-returns-the-committee-public,EO0032,development
85,executive_order,14333,declaring crime emergency the district columbia,"August 11, 2025",https://www.presidency.ucsb.edu/documents/executive-order-14333-declaring-crime-emergency-the-district-columbia,EO0033,development
2976,executive_order,11443,creating emergency board investigate disputes between the carriers,"January 13, 1969",https://www.presidency.ucsb.edu/documents/executive-order-11443-creating-emergency-board-investigate-disputes-between-the-carriers,EO0034,development
3913,executive_order,10509,creating emergency board investigate dispute between the railway,"December 16, 1953",https://www.presidency.ucsb.edu/documents/executive-order-10509-creating-emergency-board-investigate-dispute-between-the-railway,EO0035,development
3734,executive_order,10688,restoring certain lands comprising portions the waianae kai military,"November 16, 1956",https://www.presidency.ucsb.edu/documents/executive-order-10688-restoring-certain-lands-comprising-portions-the-waianae-kai-military,EO0036,development
2459,executive_order,11961,administration the international investment survey act 1976,"January 19, 1977",https://www.presidency.ucsb.edu/documents/executive-order-11961-administration-the-international-investment-survey-act-1976,EO0037,development
2749,executive_order,11670,providing for the return certain lands the yakima indian reservation,"May 20, 1972",https://www.presidency.ucsb.edu/documents/executive-order-11670-providing-for-the-return-certain-lands-the-yakima-indian-reservation,EO0038,development
2942,executive_order,11477,authorizing the atomic energy commission make certain awards without,"August 07, 1969",https://www.presidency.ucsb.edu/documents/executive-order-11477-authorizing-the-atomic-energy-commission-make-certain-awards-without,EO0039,development
1330,executive_order,13089,coral reef protection,"June 11, 1998",https://www.presidency.ucsb.edu/documents/executive-order-13089-coral-reef-protection,EO0040,development
3805,executive_order,10616,suspension certain provisions the officer personnel act 1947 amended,"June 21, 1955",https://www.presidency.ucsb.edu/documents/executive-order-10616-suspension-certain-provisions-the-officer-personnel-act-1947-amended,EO0041,development
821,executive_order,13598,assignment functions relating certain promotion and appointment,"January 27, 2012",https://www.presidency.ucsb.edu/documents/executive-order-13598-assignment-functions-relating-certain-promotion-and-appointment,EO0042,development
4197,executive_order,10226,regulations relating the safeguarding vessels harbors ports and,"March 23, 1951",https://www.presidency.ucsb.edu/documents/executive-order-10226-regulations-relating-the-safeguarding-vessels-harbors-ports-and,EO0043,development
1301,executive_order,13116,identification trade expansion priorities and discriminatory,"March 31, 1999",https://www.presidency.ucsb.edu/documents/executive-order-13116-identification-trade-expansion-priorities-and-discriminatory,EO0044,development
4201,executive_order,10222,providing for certain transfers the federal civil defense,"March 08, 1951",https://www.presidency.ucsb.edu/documents/executive-order-10222-providing-for-certain-transfers-the-federal-civil-defense,EO0045,development
1856,executive_order,12563,establishing emergency board investigate dispute between the long,"September 12, 1986",https://www.presidency.ucsb.edu/documents/executive-order-12563-establishing-emergency-board-investigate-dispute-between-the-long,EO0046,segmentation_vesting_holdout
1452,executive_order,12967,establishing emergency board investigate disputes between metro,"July 31, 1995",https://www.presidency.ucsb.edu/documents/executive-order-12967-establishing-emergency-board-investigate-disputes-between-metro,EO0047,development
4070,executive_order,10353,authorizing the appointment mrs cressie e coffelt competitive,"May 21, 1952",https://www.presidency.ucsb.edu/documents/executive-order-10353-authorizing-the-appointment-mrs-cressie-e-coffelt-competitive,EO0048,development
4377,executive_order,10046,transferring certain lands from the department agriculture the,"March 24, 1949",https://www.presidency.ucsb.edu/documents/executive-order-10046-transferring-certain-lands-from-the-department-agriculture-the,EO0049,development
260,executive_order,14161,protecting the united states from foreign terrorists and other,"January 20, 2025",https://www.presidency.ucsb.edu/documents/executive-order-14161-protecting-the-united-states-from-foreign-terrorists-and-other,EO0050,development
1526,executive_order,12893,principles for federal infrastructure investments,"January 26, 1994",https://www.presidency.ucsb.edu/documents/executive-order-12893-principles-for-federal-infrastructure-investments,EO0051,development
1414,executive_order,13005,empowerment contracting,"May 21, 1996",https://www.presidency.ucsb.edu/documents/executive-order-13005-empowerment-contracting,EO0052,development
1424,executive_order,12996,management and general public use the national wildlife refuge,"March 25, 1996",https://www.presidency.ucsb.edu/documents/executive-order-12996-management-and-general-public-use-the-national-wildlife-refuge,EO0053,development
1950,executive_order,12469,east west foreign trade report,"March 26, 1984",https://www.presidency.ucsb.edu/documents/executive-order-12469-east-west-foreign-trade-report,EO0054,segmentation_vesting_holdout
448,executive_order,13972,promoting small modular reactors for national defense and space,"January 05, 2021",https://www.presidency.ucsb.edu/documents/executive-order-13972-promoting-small-modular-reactors-for-national-defense-and-space,EO0055,development
2246,executive_order,12173,panama canal,"November 29, 1979",https://www.presidency.ucsb.edu/documents/executive-order-12173-panama-canal,EO0056,development
3207,executive_order,11211,exclusion for original or new japanese issues required for,"April 02, 1965",https://www.presidency.ucsb.edu/documents/executive-order-11211-exclusion-for-original-or-new-japanese-issues-required-for,EO0057,development
1352,executive_order,13067,blocking sudanese government property and prohibiting transactions,"November 03, 1997",https://www.presidency.ucsb.edu/documents/executive-order-13067-blocking-sudanese-government-property-and-prohibiting-transactions,EO0058,development
4097,executive_order,10326,inspection income excess profits declared value excess profits,"February 11, 1952",https://www.presidency.ucsb.edu/documents/executive-order-10326-inspection-income-excess-profits-declared-value-excess-profits,EO0059,development
2756,executive_order,11663,creating emergency board investigate disputes between the carriers,"March 31, 1972",https://www.presidency.ucsb.edu/documents/executive-order-11663-creating-emergency-board-investigate-disputes-between-the-carriers,EO0060,development
4298,executive_order,10125,creating emergency board investigate dispute between the chicago,"April 26, 1950",https://www.presidency.ucsb.edu/documents/executive-order-10125-creating-emergency-board-investigate-dispute-between-the-chicago,EO0061,development
2356,executive_order,12063,united states court military appeals nominating commission,"June 05, 1978",https://www.presidency.ucsb.edu/documents/executive-order-12063-united-states-court-military-appeals-nominating-commission,EO0062,development
3091,executive_order,11329,creating board inquiry report labor dispute affecting the,"March 02, 1967",https://www.presidency.ucsb.edu/documents/executive-order-11329-creating-board-inquiry-report-labor-dispute-affecting-the,EO0063,development
3499,executive_order,10921,establishing commission inquire into controversy between certain air,"February 21, 1961",https://www.presidency.ucsb.edu/documents/executive-order-10921-establishing-commission-inquire-into-controversy-between-certain-air,EO0064,segmentation_vesting_holdout
1606,executive_order,12813,presidents commission management the agency for international,"August 04, 1992",https://www.presidency.ucsb.edu/documents/executive-order-12813-presidents-commission-management-the-agency-for-international,EO0065,development
3204,executive_order,11217,inspection income excess profits estate and gift tax returns he,"April 24, 1965",https://www.presidency.ucsb.edu/documents/executive-order-11217-inspection-income-excess-profits-estate-and-gift-tax-returns-he,EO0066,development
1466,executive_order,12953,actions required all executive agencies facilitate payment child,"February 27, 1995",https://www.presidency.ucsb.edu/documents/executive-order-12953-actions-required-all-executive-agencies-facilitate-payment-child,EO0067,development
461,executive_order,13958,establishing the presidents advisory 1776 commission,"November 02, 2020",https://www.presidency.ucsb.edu/documents/executive-order-13958-establishing-the-presidents-advisory-1776-commission,EO0068,development
3971,executive_order,10451,inspection certain returns the committee the judiciary house,"April 28, 1953",https://www.presidency.ucsb.edu/documents/executive-order-10451-inspection-certain-returns-the-committee-the-judiciary-house,EO0069,development
4160,executive_order,10265,transfer the administration the trust territory the pacific islands,"June 29, 1951",https://www.presidency.ucsb.edu/documents/executive-order-10265-transfer-the-administration-the-trust-territory-the-pacific-islands,EO0070,development
347,executive_order,14072,strengthening the nations forests communities and local economies,"April 22, 2022",https://www.presidency.ucsb.edu/documents/executive-order-14072-strengthening-the-nations-forests-communities-and-local-economies,EO0071,segmentation_vesting_holdout
2560,executive_order,11858,foreign investment the united states,"May 07, 1975",https://www.presidency.ucsb.edu/documents/executive-order-11858-foreign-investment-the-united-states,EO0072,development
4037,executive_order,10386,inspection files covering compromise settlements tax liability,"August 20, 1952",https://www.presidency.ucsb.edu/documents/executive-order-10386-inspection-files-covering-compromise-settlements-tax-liability,EO0073,development
450,executive_order,13969,expanding educational opportunity through school choice,"December 28, 2020",https://www.presidency.ucsb.edu/documents/executive-order-13969-expanding-educational-opportunity-through-school-choice,EO0074,development
3120,executive_order,11300,relating the implementation the convention between the united states,"August 17, 1966",https://www.presidency.ucsb.edu/documents/executive-order-11300-relating-the-implementation-the-convention-between-the-united-states,EO0075,development
1687,executive_order,12732,international fund for agricultural development,"October 31, 1990",https://www.presidency.ucsb.edu/documents/executive-order-12732-international-fund-for-agricultural-development,EO0076,development
3461,executive_order,10959,authorizing the appointment mr maurice l kowal competitive position,"August 17, 1961",https://www.presidency.ucsb.edu/documents/executive-order-10959-authorizing-the-appointment-mr-maurice-l-kowal-competitive-position,EO0077,development
153,executive_order,14264,maintaining acceptable water pressure showerheads,"April 09, 2025",https://www.presidency.ucsb.edu/documents/executive-order-14264-maintaining-acceptable-water-pressure-showerheads,EO0078,development
3901,executive_order,10521,administration scientific research agencies the federal government,"March 17, 1954",https://www.presidency.ucsb.edu/documents/executive-order-10521-administration-scientific-research-agencies-the-federal-government,EO0079,development
4140,executive_order,10283,creating board inquiry report certain labor disputes affecting the,"August 30, 1951",https://www.presidency.ucsb.edu/documents/executive-order-10283-creating-board-inquiry-report-certain-labor-disputes-affecting-the,EO0080,development
1764,executive_order,12655,establishment emergency board investigate railroad labor dispute,"November 07, 1988",https://www.presidency.ucsb.edu/documents/executive-order-12655-establishment-emergency-board-investigate-railroad-labor-dispute,EO0081,development
3771,executive_order,10653,designating the honorable cecil snyder act under certain,"January 06, 1956",https://www.presidency.ucsb.edu/documents/executive-order-10653-designating-the-honorable-cecil-snyder-act-under-certain,EO0082,development
1141,executive_order,13278,presidents commission the united states postal service,"December 11, 2002",https://www.presidency.ucsb.edu/documents/executive-order-13278-presidents-commission-the-united-states-postal-service,EO0083,segmentation_vesting_holdout
339,executive_order,14080,implementation the chips act 2022,"August 25, 2022",https://www.presidency.ucsb.edu/documents/executive-order-14080-implementation-the-chips-act-2022,EO0084,development
3239,executive_order,11181,creating board inquiry report certain labor disputes affecting the,"September 30, 1964",https://www.presidency.ucsb.edu/documents/executive-order-11181-creating-board-inquiry-report-certain-labor-disputes-affecting-the,EO0085,development
4021,executive_order,10402,enforcement the convention for safety life sea 1948,"October 30, 1952",https://www.presidency.ucsb.edu/documents/executive-order-10402-enforcement-the-convention-for-safety-life-sea-1948,EO0086,development
4478,executive_order,9947,creating emergency board investigate dispute between the pennsylvania,"April 10, 1948",https://www.presidency.ucsb.edu/documents/executive-order-9947-creating-emergency-board-investigate-dispute-between-the-pennsylvania,EO0087,development
2059,executive_order,12360,presidents task force victims crime,"April 23, 1982",https://www.presidency.ucsb.edu/documents/executive-order-12360-presidents-task-force-victims-crime,EO0088,development
3562,executive_order,10858,the presidents committee for traffic safety,"January 13, 1960",https://www.presidency.ucsb.edu/documents/executive-order-10858-the-presidents-committee-for-traffic-safety,EO0089,development
739,executive_order,13680,ordering the selected reserve and certain individual ready reserve,"October 16, 2014",https://www.presidency.ucsb.edu/documents/executive-order-13680-ordering-the-selected-reserve-and-certain-individual-ready-reserve,EO0090,segmentation_vesting_holdout
1455,executive_order,12964,commission united states pacific trade and investment policy,"June 21, 1995",https://www.presidency.ucsb.edu/documents/executive-order-12964-commission-united-states-pacific-trade-and-investment-policy,EO0091,segmentation_vesting_holdout
749,executive_order,13670,establishing emergency board investigate disputes between the,"June 14, 2014",https://www.presidency.ucsb.edu/documents/executive-order-13670-establishing-emergency-board-investigate-disputes-between-the,EO0092,development
4421,executive_order,10003,providing for the investigation and report displaced persons seeking,"October 04, 1948",https://www.presidency.ucsb.edu/documents/executive-order-10003-providing-for-the-investigation-and-report-displaced-persons-seeking,EO0093,development
4072,executive_order,10351,designation certain persons for the purpose issuing provisional,"May 15, 1952",https://www.presidency.ucsb.edu/documents/executive-order-10351-designation-certain-persons-for-the-purpose-issuing-provisional,EO0094,development
888,executive_order,13531,national commission fiscal responsibility and reform,"February 18, 2010",https://www.presidency.ucsb.edu/documents/executive-order-13531-national-commission-fiscal-responsibility-and-reform,EO0095,development
777,executive_order,13642,making open and machine readable the new default for government,"May 09, 2013",https://www.presidency.ucsb.edu/documents/executive-order-13642-making-open-and-machine-readable-the-new-default-for-government,EO0096,development
3216,executive_order,11203,permitting certain qualified employees the treasury department be,"March 12, 1965",https://www.presidency.ucsb.edu/documents/executive-order-11203-permitting-certain-qualified-employees-the-treasury-department-be,EO0097,development
2697,executive_order,11722,inspection income estate and gift tax returns the committee internal,"June 09, 1973",https://www.presidency.ucsb.edu/documents/executive-order-11722-inspection-income-estate-and-gift-tax-returns-the-committee-internal,EO0098,development
1625,executive_order,12794,establishing emergency board investigate disputes between certain,"March 31, 1992",https://www.presidency.ucsb.edu/documents/executive-order-12794-establishing-emergency-board-investigate-disputes-between-certain,EO0099,development
1195,executive_order,13224,blocking property and prohibiting transactions with persons who,"September 23, 2001",https://www.presidency.ucsb.edu/documents/executive-order-13224-blocking-property-and-prohibiting-transactions-with-persons-who,EO0100,development
129,executive_order,14290,ending taxpayer subsidization biased media,"May 01, 2025",https://www.presidency.ucsb.edu/documents/executive-order-14290-ending-taxpayer-subsidization-biased-media,EO0101,development
1030,executive_order,13390,establishment coordinator federal support for the recovery and,"November 01, 2005",https://www.presidency.ucsb.edu/documents/executive-order-13390-establishment-coordinator-federal-support-for-the-recovery-and,EO0102,development
4020,executive_order,10403,reserving certain lands comprising part the fort missoula military,"November 05, 1952",https://www.presidency.ucsb.edu/documents/executive-order-10403-reserving-certain-lands-comprising-part-the-fort-missoula-military,EO0103,development
1615,executive_order,12804,providing for the restoration law and order the city and county los,"May 01, 1992",https://www.presidency.ucsb.edu/documents/executive-order-12804-providing-for-the-restoration-law-and-order-the-city-and-county-los,EO0104,development
2974,executive_order,11444,creating emergency board investigate disputes between the carriers,"January 13, 1969",https://www.presidency.ucsb.edu/documents/executive-order-11444-creating-emergency-board-investigate-disputes-between-the-carriers,EO0105,development
2228,executive_order,12191,federal facility ridesharing program,"February 01, 1980",https://www.presidency.ucsb.edu/documents/executive-order-12191-federal-facility-ridesharing-program,EO0106,segmentation_vesting_holdout
770,executive_order,13649,accelerating improvements hiv prevention and care the united states,"July 15, 2013",https://www.presidency.ucsb.edu/documents/executive-order-13649-accelerating-improvements-hiv-prevention-and-care-the-united-states,EO0107,development
3205,executive_order,11215,establishing the presidents commission the patent system,"April 08, 1965",https://www.presidency.ucsb.edu/documents/executive-order-11215-establishing-the-presidents-commission-the-patent-system,EO0108,development
3330,executive_order,11090,assigning emergency preparedness functions the civil aeronautics,"February 26, 1963",https://www.presidency.ucsb.edu/documents/executive-order-11090-assigning-emergency-preparedness-functions-the-civil-aeronautics,EO0109,development
4217,executive_order,10206,providing for support united nations activities directed the,"January 19, 1951",https://www.presidency.ucsb.edu/documents/executive-order-10206-providing-for-support-united-nations-activities-directed-the,EO0110,segmentation_vesting_holdout
80,executive_order,14342,taking steps end cashless bail protect americans,"August 25, 2025",https://www.presidency.ucsb.edu/documents/executive-order-14342-taking-steps-end-cashless-bail-protect-americans,EO0111,development
4039,executive_order,10383,resorting certain lands palaau molokai the jurisdiction territory,"August 11, 1952",https://www.presidency.ucsb.edu/documents/executive-order-10383-resorting-certain-lands-palaau-molokai-the-jurisdiction-territory,EO0112,development
653,executive_order,13766,expediting environmental reviews and approvals for high priority,"January 24, 2017",https://www.presidency.ucsb.edu/documents/executive-order-13766-expediting-environmental-reviews-and-approvals-for-high-priority,EO0113,development
795,executive_order,13624,accelerating investment industrial energy efficiency,"August 30, 2012",https://www.presidency.ucsb.edu/documents/executive-order-13624-accelerating-investment-industrial-energy-efficiency,EO0114,segmentation_vesting_holdout
3981,executive_order,10441,continuing effect certain appointments officers and warrant officers,"March 31, 1953",https://www.presidency.ucsb.edu/documents/executive-order-10441-continuing-effect-certain-appointments-officers-and-warrant-officers,EO0115,development
1887,executive_order,12532,prohibiting trade and certain other transactions involving south,"September 09, 1985",https://www.presidency.ucsb.edu/documents/executive-order-12532-prohibiting-trade-and-certain-other-transactions-involving-south,EO0116,development
4024,executive_order,10399,designating the surgeon general the public health service perform,"September 27, 1952",https://www.presidency.ucsb.edu/documents/executive-order-10399-designating-the-surgeon-general-the-public-health-service-perform,EO0117,segmentation_vesting_holdout
2835,executive_order,11584,inspection income excess profits estate and gift tax returns the,"March 03, 1971",https://www.presidency.ucsb.edu/documents/executive-order-11584-inspection-income-excess-profits-estate-and-gift-tax-returns-the,EO0118,development
3965,executive_order,10456,delegating secretary defense and the director defense mobilization,"May 27, 1953",https://www.presidency.ucsb.edu/documents/executive-order-10456-delegating-secretary-defense-and-the-director-defense-mobilization,EO0119,development
4247,executive_order,10177,amendment section 1 executive order no 9778 september 10 1946,"October 27, 1950",https://www.presidency.ucsb.edu/documents/executive-order-10177-amendment-section-1-executive-order-no-9778-september-10-1946,EO0120,development
3696,executive_order,10724,establishing career executive committee,"August 12, 1957",https://www.presidency.ucsb.edu/documents/executive-order-10724-establishing-career-executive-committee,EO0121,development
222,executive_order,14198,progress the situation our southern border,"February 03, 2025",https://www.presidency.ucsb.edu/documents/executive-order-14198-progress-the-situation-our-southern-border,EO0122,development
3144,executive_order,11276,creating emergency board investigate disputes between the carriers,"April 21, 1966",https://www.presidency.ucsb.edu/documents/executive-order-11276-creating-emergency-board-investigate-disputes-between-the-carriers,EO0123,development
503,executive_order,13916,national emergency authority temporarily extend deadlines for,"April 18, 2020",https://www.presidency.ucsb.edu/documents/executive-order-13916-national-emergency-authority-temporarily-extend-deadlines-for,EO0124,development
3289,executive_order,11131,creating emergency board investigate disputes between the braniff,"December 11, 1963",https://www.presidency.ucsb.edu/documents/executive-order-11131-creating-emergency-board-investigate-disputes-between-the-braniff,EO0125,development
853,executive_order,13566,blocking property and prohibiting certain transactions related libya,"February 25, 2011",https://www.presidency.ucsb.edu/documents/executive-order-13566-blocking-property-and-prohibiting-certain-transactions-related-libya,EO0126,segmentation_vesting_holdout
4111,executive_order,10310,designating the honorable cecil snyder act under certain,"December 10, 1951",https://www.presidency.ucsb.edu/documents/executive-order-10310-designating-the-honorable-cecil-snyder-act-under-certain,EO0127,development
482,executive_order,13947,lowering drug prices putting america first,"July 24, 2020",https://www.presidency.ucsb.edu/documents/executive-order-13947-lowering-drug-prices-putting-america-first,EO0128,development
1457,executive_order,12962,recreational fisheries,"June 07, 1995",https://www.presidency.ucsb.edu/documents/executive-order-12962-recreational-fisheries,EO0129,development
327,executive_order,14092,reducing gun violence and making our communities safer,"March 14, 2023",https://www.presidency.ucsb.edu/documents/executive-order-14092-reducing-gun-violence-and-making-our-communities-safer,EO0130,development
1071,executive_order,13348,blocking property certain persons and prohibiting the importation,"July 22, 2004",https://www.presidency.ucsb.edu/documents/executive-order-13348-blocking-property-certain-persons-and-prohibiting-the-importation,EO0131,development
2918,executive_order,11501,administration foreign military sales,"December 22, 1969",https://www.presidency.ucsb.edu/documents/executive-order-11501-administration-foreign-military-sales,EO0132,development
1049,executive_order,13370,providing order succession the office management and budget,"January 13, 2005",https://www.presidency.ucsb.edu/documents/executive-order-13370-providing-order-succession-the-office-management-and-budget,EO0133,development
3129,executive_order,11291,creating emergency board investigate dispute between the american,"July 27, 1966",https://www.presidency.ucsb.edu/documents/executive-order-11291-creating-emergency-board-investigate-dispute-between-the-american,EO0134,development
2190,executive_order,12229,white house coal advisory council,"July 29, 1980",https://www.presidency.ucsb.edu/documents/executive-order-12229-white-house-coal-advisory-council,EO0135,development
4089,executive_order,10334,exemption frederick c mayer from compulsroy retirement age,"March 26, 1952",https://www.presidency.ucsb.edu/documents/executive-order-10334-exemption-frederick-c-mayer-from-compulsroy-retirement-age,EO0136,development
3027,executive_order,11392,ordering certain units the ready reserve the naval reserve air force,"January 25, 1968",https://www.presidency.ucsb.edu/documents/executive-order-11392-ordering-certain-units-the-ready-reserve-the-naval-reserve-air-force,EO0137,development
3580,executive_order,10840,designating the federal aviation agency agency have certain,"September 30, 1959",https://www.presidency.ucsb.edu/documents/executive-order-10840-designating-the-federal-aviation-agency-agency-have-certain,EO0138,development
317,executive_order,14102,ordering the selected reserve and certain members the individual,"July 13, 2023",https://www.presidency.ucsb.edu/documents/executive-order-14102-ordering-the-selected-reserve-and-certain-members-the-individual,EO0139,development
2924,executive_order,11495,providing for the administration the disaster relief act 1969,"November 18, 1969",https://www.presidency.ucsb.edu/documents/executive-order-11495-providing-for-the-administration-the-disaster-relief-act-1969,EO0140,development
4104,executive_order,10319,creating emergency board investigate dispute between the northwest,"January 04, 1952",https://www.presidency.ucsb.edu/documents/executive-order-10319-creating-emergency-board-investigate-dispute-between-the-northwest,EO0141,development
1221,executive_order,13198,agency responsibilities with respect faith based and community,"January 29, 2001",https://www.presidency.ucsb.edu/documents/executive-order-13198-agency-responsibilities-with-respect-faith-based-and-community,EO0142,development
3629,executive_order,10791,designating certain officers act secretary state,"November 28, 1958",https://www.presidency.ucsb.edu/documents/executive-order-10791-designating-certain-officers-act-secretary-state,EO0143,development
1480,executive_order,12939,expedited naturalization aliens and noncitizen nationals who served,"November 22, 1994",https://www.presidency.ucsb.edu/documents/executive-order-12939-expedited-naturalization-aliens-and-noncitizen-nationals-who-served,EO0144,segmentation_vesting_holdout
3671,executive_order,10749,creating emergency board investigate dispute between the eastern air,"January 21, 1958",https://www.presidency.ucsb.edu/documents/executive-order-10749-creating-emergency-board-investigate-dispute-between-the-eastern-air,EO0145,development
3906,executive_order,10516,transferring certain lands the secretary agriculture for use,"January 26, 1954",https://www.presidency.ucsb.edu/documents/executive-order-10516-transferring-certain-lands-the-secretary-agriculture-for-use,EO0146,segmentation_vesting_holdout
4115,executive_order,10309,restoring possession use and control certain lands reserved for,"December 03, 1951",https://www.presidency.ucsb.edu/documents/executive-order-10309-restoring-possession-use-and-control-certain-lands-reserved-for,EO0147,development
3727,executive_order,10694,authorizing the secretaries the army navy and air force issue,"January 10, 1957",https://www.presidency.ucsb.edu/documents/executive-order-10694-authorizing-the-secretaries-the-army-navy-and-air-force-issue,EO0148,development
